epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1604166562247,2020-10-31T13:49:22.247,0.000,-0.010,0.906,-0.268
1604166562257,2020-10-31T13:49:22.257,0.010,-0.030,0.923,-0.265
1604166562267,2020-10-31T13:49:22.267,0.020,-0.045,0.925,-0.266
1604166562277,2020-10-31T13:49:22.277,0.030,-0.062,0.923,-0.260
1604166562287,2020-10-31T13:49:22.287,0.040,-0.077,0.922,-0.258
1604166562297,2020-10-31T13:49:22.297,0.050,-0.082,0.922,-0.257
1604166562307,2020-10-31T13:49:22.307,0.060,-0.089,0.918,-0.259
1604166562317,2020-10-31T13:49:22.317,0.070,-0.094,0.915,-0.259
1604166562327,2020-10-31T13:49:22.327,0.080,-0.099,0.917,-0.263
1604166562337,2020-10-31T13:49:22.337,0.090,-0.099,0.913,-0.262
1604166562347,2020-10-31T13:49:22.347,0.100,-0.099,0.915,-0.265
1604166562357,2020-10-31T13:49:22.357,0.110,-0.104,0.915,-0.268
1604166562367,2020-10-31T13:49:22.367,0.120,-0.107,0.914,-0.268
1604166562377,2020-10-31T13:49:22.377,0.130,-0.106,0.913,-0.271
1604166562387,2020-10-31T13:49:22.387,0.140,-0.103,0.915,-0.275
1604166562397,2020-10-31T13:49:22.397,0.150,-0.095,0.914,-0.275
1604166562407,2020-10-31T13:49:22.407,0.160,-0.092,0.909,-0.275
1604166562417,2020-10-31T13:49:22.417,0.170,-0.090,0.907,-0.279
1604166562427,2020-10-31T13:49:22.427,0.180,-0.085,0.904,-0.279
1604166562437,2020-10-31T13:49:22.437,0.190,-0.083,0.906,-0.280
1604166562447,2020-10-31T13:49:22.447,0.200,-0.077,0.908,-0.279
1604166562457,2020-10-31T13:49:22.457,0.210,-0.071,0.908,-0.283
1604166562467,2020-10-31T13:49:22.467,0.220,-0.067,0.910,-0.283
1604166562477,2020-10-31T13:49:22.477,0.230,-0.066,0.910,-0.283
1604166562487,2020-10-31T13:49:22.487,0.240,-0.062,0.912,-0.283
1604166562497,2020-10-31T13:49:22.497,0.250,-0.065,0.917,-0.287
1604166562507,2020-10-31T13:49:22.507,0.260,-0.063,0.923,-0.287
1604166562517,2020-10-31T13:49:22.517,0.270,-0.062,0.930,-0.284
1604166562527,2020-10-31T13:49:22.527,0.280,-0.061,0.936,-0.289
1604166562537,2020-10-31T13:49:22.537,0.290,-0.058,0.938,-0.292
1604166562547,2020-10-31T13:49:22.547,0.300,-0.055,0.939,-0.290
1604166562557,2020-10-31T13:49:22.557,0.310,-0.051,0.945,-0.292
1604166562567,2020-10-31T13:49:22.567,0.320,-0.047,0.947,-0.293
1604166562577,2020-10-31T13:49:22.577,0.330,-0.044,0.951,-0.296
1604166562587,2020-10-31T13:49:22.587,0.340,-0.043,0.955,-0.299
1604166562597,2020-10-31T13:49:22.597,0.350,-0.040,0.953,-0.300
1604166562607,2020-10-31T13:49:22.607,0.360,-0.041,0.956,-0.301
1604166562617,2020-10-31T13:49:22.617,0.370,-0.040,0.955,-0.304
1604166562627,2020-10-31T13:49:22.627,0.380,-0.037,0.952,-0.305
1604166562637,2020-10-31T13:49:22.637,0.390,-0.034,0.949,-0.300
1604166562647,2020-10-31T13:49:22.647,0.400,-0.029,0.943,-0.292
1604166562657,2020-10-31T13:49:22.657,0.410,-0.031,0.938,-0.285
1604166562667,2020-10-31T13:49:22.667,0.420,-0.040,0.948,-0.283
1604166562677,2020-10-31T13:49:22.677,0.430,-0.054,0.969,-0.287
1604166562687,2020-10-31T13:49:22.687,0.440,-0.057,0.987,-0.291
1604166562697,2020-10-31T13:49:22.697,0.450,-0.059,0.998,-0.293
