epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1604167604201,2020-10-31T14:06:44.201,0.000,0.193,0.899,-0.317
1604167604211,2020-10-31T14:06:44.211,0.010,0.196,0.904,-0.317
1604167604221,2020-10-31T14:06:44.221,0.020,0.198,0.898,-0.315
1604167604231,2020-10-31T14:06:44.231,0.030,0.203,0.896,-0.312
1604167604241,2020-10-31T14:06:44.241,0.040,0.205,0.896,-0.310
1604167604251,2020-10-31T14:06:44.251,0.050,0.207,0.893,-0.307
1604167604261,2020-10-31T14:06:44.261,0.060,0.209,0.892,-0.307
1604167604271,2020-10-31T14:06:44.271,0.070,0.209,0.889,-0.305
1604167604281,2020-10-31T14:06:44.281,0.080,0.212,0.891,-0.301
1604167604291,2020-10-31T14:06:44.291,0.090,0.215,0.898,-0.310
1604167604301,2020-10-31T14:06:44.301,0.100,0.215,0.902,-0.309
1604167604311,2020-10-31T14:06:44.311,0.110,0.220,0.910,-0.311
1604167604321,2020-10-31T14:06:44.321,0.120,0.221,0.912,-0.308
1604167604331,2020-10-31T14:06:44.331,0.130,0.223,0.914,-0.307
1604167604341,2020-10-31T14:06:44.341,0.140,0.230,0.915,-0.307
1604167604351,2020-10-31T14:06:44.351,0.150,0.233,0.912,-0.302
1604167604361,2020-10-31T14:06:44.361,0.160,0.234,0.911,-0.301
1604167604371,2020-10-31T14:06:44.371,0.170,0.242,0.908,-0.294
1604167604381,2020-10-31T14:06:44.381,0.180,0.245,0.903,-0.291
1604167604391,2020-10-31T14:06:44.391,0.190,0.247,0.899,-0.288
1604167604401,2020-10-31T14:06:44.401,0.200,0.250,0.902,-0.293
1604167604411,2020-10-31T14:06:44.411,0.210,0.251,0.898,-0.291
1604167604421,2020-10-31T14:06:44.421,0.220,0.255,0.889,-0.284
1604167604431,2020-10-31T14:06:44.431,0.230,0.263,0.889,-0.288
1604167604441,2020-10-31T14:06:44.441,0.240,0.270,0.895,-0.298
1604167604451,2020-10-31T14:06:44.451,0.250,0.268,0.896,-0.303
1604167604461,2020-10-31T14:06:44.461,0.260,0.264,0.895,-0.304
1604167604471,2020-10-31T14:06:44.471,0.270,0.262,0.898,-0.307
1604167604481,2020-10-31T14:06:44.481,0.280,0.253,0.902,-0.309
1604167604491,2020-10-31T14:06:44.491,0.290,0.247,0.902,-0.308
1604167604501,2020-10-31T14:06:44.501,0.300,0.244,0.901,-0.305
1604167604511,2020-10-31T14:06:44.511,0.310,0.238,0.902,-0.301
1604167604521,2020-10-31T14:06:44.521,0.320,0.241,0.902,-0.303
1604167604531,2020-10-31T14:06:44.531,0.330,0.242,0.897,-0.296
1604167604541,2020-10-31T14:06:44.541,0.340,0.243,0.900,-0.294
1604167604551,2020-10-31T14:06:44.551,0.350,0.244,0.904,-0.294
1604167604561,2020-10-31T14:06:44.561,0.360,0.246,0.907,-0.293
1604167604571,2020-10-31T14:06:44.571,0.370,0.245,0.902,-0.289
1604167604581,2020-10-31T14:06:44.581,0.380,0.240,0.902,-0.283
1604167604591,2020-10-31T14:06:44.591,0.390,0.240,0.909,-0.286
1604167604601,2020-10-31T14:06:44.601,0.400,0.243,0.921,-0.292
1604167604611,2020-10-31T14:06:44.611,0.410,0.239,0.928,-0.294
1604167604621,2020-10-31T14:06:44.621,0.420,0.235,0.930,-0.300
1604167604631,2020-10-31T14:06:44.631,0.430,0.227,0.934,-0.300
1604167604641,2020-10-31T14:06:44.641,0.440,0.218,0.932,-0.295
1604167604651,2020-10-31T14:06:44.651,0.450,0.209,0.940,-0.303
1604167604661,2020-10-31T14:06:44.661,0.460,0.213,0.958,-0.319
1604167604671,2020-10-31T14:06:44.671,0.470,0.217,0.962,-0.318
