epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1603644150420,2020-10-25T12:42:30.420,0.000,-3.659,-2.866,-6.463
1603644150430,2020-10-25T12:42:30.430,0.010,-3.963,-2.744,-6.280
1603644150440,2020-10-25T12:42:30.440,0.020,-4.878,-3.232,-7.988
1603644150450,2020-10-25T12:42:30.450,0.030,-6.037,-3.598,-9.634
1603644150460,2020-10-25T12:42:30.460,0.040,-7.073,-3.780,-11.646
1603644150470,2020-10-25T12:42:30.470,0.050,-8.110,-3.841,-13.720
1603644150480,2020-10-25T12:42:30.480,0.060,-8.415,-4.085,-14.939
1603644150490,2020-10-25T12:42:30.490,0.070,-8.171,-4.329,-15.610
1603644150500,2020-10-25T12:42:30.500,0.080,-7.866,-4.329,-15.732
1603644150510,2020-10-25T12:42:30.510,0.090,-7.134,-4.329,-15.549
1603644150520,2020-10-25T12:42:30.520,0.100,-6.280,-4.268,-15.122
1603644150530,2020-10-25T12:42:30.530,0.110,-5.244,-4.207,-14.817
1603644150540,2020-10-25T12:42:30.540,0.120,-4.634,-4.024,-14.878
1603644150550,2020-10-25T12:42:30.550,0.130,-3.963,-3.780,-15.549
1603644150560,2020-10-25T12:42:30.560,0.140,-3.720,-3.415,-16.341
1603644150570,2020-10-25T12:42:30.570,0.150,-3.293,-3.171,-17.134
1603644150580,2020-10-25T12:42:30.580,0.160,-2.683,-2.866,-17.927
1603644150590,2020-10-25T12:42:30.590,0.170,-2.317,-2.500,-18.902
1603644150600,2020-10-25T12:42:30.600,0.180,-2.317,-2.256,-20.549
1603644150610,2020-10-25T12:42:30.610,0.190,-3.110,-2.073,-23.049
1603644150620,2020-10-25T12:42:30.620,0.200,-4.390,-1.951,-26.463
1603644150630,2020-10-25T12:42:30.630,0.210,-6.037,-1.829,-30.793
1603644150640,2020-10-25T12:42:30.640,0.220,-8.354,-1.829,-36.220
1603644150650,2020-10-25T12:42:30.650,0.230,-10.915,-1.951,-41.829
1603644150660,2020-10-25T12:42:30.660,0.240,-13.232,-2.134,-46.951
1603644150670,2020-10-25T12:42:30.670,0.250,-14.817,-2.317,-52.012
1603644150680,2020-10-25T12:42:30.680,0.260,-16.280,-2.622,-57.256
1603644150690,2020-10-25T12:42:30.690,0.270,-19.268,-3.049,-62.866
1603644150700,2020-10-25T12:42:30.700,0.280,-22.439,-3.659,-67.317
1603644150710,2020-10-25T12:42:30.710,0.290,-24.207,-4.085,-70.244
1603644150720,2020-10-25T12:42:30.720,0.300,-24.573,-4.329,-71.646
1603644150730,2020-10-25T12:42:30.730,0.310,-24.573,-4.451,-72.256
1603644150740,2020-10-25T12:42:30.740,0.320,-25.122,-4.756,-72.256
1603644150750,2020-10-25T12:42:30.750,0.330,-26.585,-5.000,-71.341
1603644150760,2020-10-25T12:42:30.760,0.340,-26.463,-5.244,-69.146
1603644150770,2020-10-25T12:42:30.770,0.350,-25.610,-5.366,-65.793
1603644150780,2020-10-25T12:42:30.780,0.360,-24.756,-5.244,-62.012
1603644150790,2020-10-25T12:42:30.790,0.370,-23.171,-4.817,-57.988
