epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1604162409358,2020-10-31T12:40:09.358,0.000,-0.120,0.905,-0.227
1604162409368,2020-10-31T12:40:09.368,0.010,-0.125,0.920,-0.235
1604162409378,2020-10-31T12:40:09.378,0.020,-0.124,0.915,-0.237
1604162409388,2020-10-31T12:40:09.388,0.030,-0.119,0.914,-0.245
1604162409398,2020-10-31T12:40:09.398,0.040,-0.117,0.916,-0.250
1604162409408,2020-10-31T12:40:09.408,0.050,-0.106,0.904,-0.240
1604162409418,2020-10-31T12:40:09.418,0.060,-0.093,0.884,-0.230
1604162409428,2020-10-31T12:40:09.428,0.070,-0.083,0.879,-0.227
1604162409438,2020-10-31T12:40:09.438,0.080,-0.078,0.907,-0.239
1604162409448,2020-10-31T12:40:09.448,0.090,-0.077,0.945,-0.252
1604162409458,2020-10-31T12:40:09.458,0.100,-0.064,0.951,-0.260
1604162409468,2020-10-31T12:40:09.468,0.110,-0.059,0.963,-0.255
1604162409478,2020-10-31T12:40:09.478,0.120,-0.064,0.967,-0.275
1604162409488,2020-10-31T12:40:09.488,0.130,-0.032,0.916,-0.243
1604162409498,2020-10-31T12:40:09.498,0.140,-0.026,0.907,-0.233
1604162409508,2020-10-31T12:40:09.508,0.150,-0.024,0.941,-0.243
1604162409518,2020-10-31T12:40:09.518,0.160,-0.029,1.003,-0.263
1604162409528,2020-10-31T12:40:09.528,0.170,-0.027,1.040,-0.275
1604162409538,2020-10-31T12:40:09.538,0.180,-0.026,1.026,-0.256
1604162409548,2020-10-31T12:40:09.548,0.190,-0.026,1.021,-0.249
1604162409558,2020-10-31T12:40:09.558,0.200,-0.028,1.032,-0.256
1604162409568,2020-10-31T12:40:09.568,0.210,-0.029,1.037,-0.257
1604162409578,2020-10-31T12:40:09.578,0.220,-0.029,1.032,-0.257
1604162409588,2020-10-31T12:40:09.588,0.230,-0.030,1.024,-0.259
1604162409598,2020-10-31T12:40:09.598,0.240,-0.034,1.020,-0.264
1604162409608,2020-10-31T12:40:09.608,0.250,-0.037,1.017,-0.270
1604162409618,2020-10-31T12:40:09.618,0.260,-0.039,0.994,-0.273
1604162409628,2020-10-31T12:40:09.628,0.270,-0.042,0.974,-0.276
1604162409638,2020-10-31T12:40:09.638,0.280,-0.043,0.958,-0.272
1604162409648,2020-10-31T12:40:09.648,0.290,-0.045,0.944,-0.277
1604162409658,2020-10-31T12:40:09.658,0.300,-0.052,0.935,-0.280
1604162409668,2020-10-31T12:40:09.668,0.310,-0.056,0.921,-0.276
1604162409678,2020-10-31T12:40:09.678,0.320,-0.058,0.908,-0.272
1604162409688,2020-10-31T12:40:09.688,0.330,-0.059,0.900,-0.264
1604162409698,2020-10-31T12:40:09.698,0.340,-0.060,0.900,-0.265
1604162409708,2020-10-31T12:40:09.708,0.350,-0.060,0.906,-0.266
1604162409718,2020-10-31T12:40:09.718,0.360,-0.061,0.907,-0.265
1604162409728,2020-10-31T12:40:09.728,0.370,-0.063,0.906,-0.263
1604162409738,2020-10-31T12:40:09.738,0.380,-0.063,0.908,-0.264
1604162409748,2020-10-31T12:40:09.748,0.390,-0.060,0.908,-0.270
1604162409758,2020-10-31T12:40:09.758,0.400,-0.061,0.904,-0.268
1604162409768,2020-10-31T12:40:09.768,0.410,-0.063,0.903,-0.270
1604162409778,2020-10-31T12:40:09.778,0.420,-0.062,0.901,-0.272
1604162409788,2020-10-31T12:40:09.788,0.430,-0.062,0.897,-0.269
1604162409798,2020-10-31T12:40:09.798,0.440,-0.063,0.888,-0.267
1604162409808,2020-10-31T12:40:09.808,0.450,-0.059,0.902,-0.276
1604162409818,2020-10-31T12:40:09.818,0.460,-0.063,0.922,-0.289
1604162409828,2020-10-31T12:40:09.828,0.470,-0.064,0.935,-0.301
1604162409838,2020-10-31T12:40:09.838,0.480,-0.064,0.951,-0.311
1604162409848,2020-10-31T12:40:09.848,0.490,-0.065,0.949,-0.318
