epoch (ms),time (-13:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1604163372837,2020-10-31T12:56:12.837,0.000,0.430,0.861,-0.292
1604163372847,2020-10-31T12:56:12.847,0.010,0.435,0.871,-0.291
1604163372857,2020-10-31T12:56:12.857,0.020,0.438,0.899,-0.299
1604163372867,2020-10-31T12:56:12.867,0.030,0.444,0.948,-0.315
1604163372877,2020-10-31T12:56:12.877,0.040,0.451,0.981,-0.320
1604163372887,2020-10-31T12:56:12.887,0.050,0.457,0.982,-0.316
1604163372897,2020-10-31T12:56:12.897,0.060,0.453,0.968,-0.309
1604163372907,2020-10-31T12:56:12.907,0.070,0.451,0.963,-0.303
1604163372917,2020-10-31T12:56:12.917,0.080,0.452,0.959,-0.299
1604163372927,2020-10-31T12:56:12.927,0.090,0.456,0.943,-0.289
1604163372937,2020-10-31T12:56:12.937,0.100,0.455,0.912,-0.272
1604163372947,2020-10-31T12:56:12.947,0.110,0.453,0.873,-0.257
1604163372957,2020-10-31T12:56:12.957,0.120,0.457,0.856,-0.247
1604163372967,2020-10-31T12:56:12.967,0.130,0.463,0.856,-0.238
1604163372977,2020-10-31T12:56:12.977,0.140,0.477,0.856,-0.230
1604163372987,2020-10-31T12:56:12.987,0.150,0.487,0.858,-0.227
1604163372997,2020-10-31T12:56:12.997,0.160,0.500,0.857,-0.221
1604163373007,2020-10-31T12:56:13.007,0.170,0.515,0.870,-0.216
1604163373017,2020-10-31T12:56:13.017,0.180,0.518,0.883,-0.216
1604163373027,2020-10-31T12:56:13.027,0.190,0.520,0.872,-0.213
1604163373037,2020-10-31T12:56:13.037,0.200,0.513,0.860,-0.210
1604163373047,2020-10-31T12:56:13.047,0.210,0.498,0.874,-0.215
1604163373057,2020-10-31T12:56:13.057,0.220,0.483,0.891,-0.214
1604163373067,2020-10-31T12:56:13.067,0.230,0.467,0.889,-0.215
1604163373077,2020-10-31T12:56:13.077,0.240,0.443,0.886,-0.208
1604163373087,2020-10-31T12:56:13.087,0.250,0.421,0.892,-0.212
1604163373097,2020-10-31T12:56:13.097,0.260,0.402,0.902,-0.211
1604163373107,2020-10-31T12:56:13.107,0.270,0.380,0.886,-0.199
1604163373117,2020-10-31T12:56:13.117,0.280,0.359,0.859,-0.184
1604163373127,2020-10-31T12:56:13.127,0.290,0.342,0.837,-0.169
1604163373137,2020-10-31T12:56:13.137,0.300,0.335,0.835,-0.167
1604163373147,2020-10-31T12:56:13.147,0.310,0.329,0.844,-0.166
1604163373157,2020-10-31T12:56:13.157,0.320,0.326,0.854,-0.170
1604163373167,2020-10-31T12:56:13.167,0.330,0.327,0.869,-0.176
1604163373177,2020-10-31T12:56:13.177,0.340,0.334,0.861,-0.169
1604163373187,2020-10-31T12:56:13.187,0.350,0.341,0.841,-0.160
1604163373197,2020-10-31T12:56:13.197,0.360,0.353,0.836,-0.155
1604163373207,2020-10-31T12:56:13.207,0.370,0.364,0.840,-0.157
1604163373217,2020-10-31T12:56:13.217,0.380,0.375,0.840,-0.158
1604163373227,2020-10-31T12:56:13.227,0.390,0.386,0.827,-0.160
1604163373237,2020-10-31T12:56:13.237,0.400,0.397,0.820,-0.159
1604163373247,2020-10-31T12:56:13.247,0.410,0.410,0.822,-0.163
1604163373257,2020-10-31T12:56:13.257,0.420,0.416,0.828,-0.173
1604163373267,2020-10-31T12:56:13.267,0.430,0.418,0.832,-0.184
1604163373277,2020-10-31T12:56:13.277,0.440,0.419,0.833,-0.190
1604163373287,2020-10-31T12:56:13.287,0.450,0.420,0.833,-0.200
1604163373297,2020-10-31T12:56:13.297,0.460,0.417,0.830,-0.199
1604163373307,2020-10-31T12:56:13.307,0.470,0.411,0.823,-0.206
1604163373317,2020-10-31T12:56:13.317,0.480,0.406,0.815,-0.210
1604163373327,2020-10-31T12:56:13.327,0.490,0.401,0.799,-0.207
1604163373337,2020-10-31T12:56:13.337,0.500,0.398,0.782,-0.207
1604163373347,2020-10-31T12:56:13.347,0.510,0.398,0.770,-0.203
1604163373357,2020-10-31T12:56:13.357,0.520,0.401,0.749,-0.193
1604163373367,2020-10-31T12:56:13.367,0.530,0.397,0.725,-0.183
1604163373377,2020-10-31T12:56:13.377,0.540,0.392,0.716,-0.175
1604163373387,2020-10-31T12:56:13.387,0.550,0.390,0.721,-0.173
1604163373397,2020-10-31T12:56:13.397,0.560,0.394,0.732,-0.169
1604163373407,2020-10-31T12:56:13.407,0.570,0.397,0.750,-0.174
1604163373417,2020-10-31T12:56:13.417,0.580,0.395,0.749,-0.166
1604163373427,2020-10-31T12:56:13.427,0.590,0.395,0.744,-0.153
1604163373437,2020-10-31T12:56:13.437,0.600,0.389,0.762,-0.160
1604163373447,2020-10-31T12:56:13.447,0.610,0.393,0.797,-0.164
1604163373457,2020-10-31T12:56:13.457,0.620,0.392,0.832,-0.166
1604163373467,2020-10-31T12:56:13.467,0.630,0.398,0.850,-0.164
1604163373477,2020-10-31T12:56:13.477,0.640,0.409,0.864,-0.164
1604163373487,2020-10-31T12:56:13.487,0.650,0.414,0.880,-0.164
1604163373497,2020-10-31T12:56:13.497,0.660,0.409,0.896,-0.169
1604163373507,2020-10-31T12:56:13.507,0.670,0.411,0.900,-0.166
1604163373517,2020-10-31T12:56:13.517,0.680,0.420,0.898,-0.166
1604163373527,2020-10-31T12:56:13.527,0.690,0.428,0.913,-0.179
1604163373537,2020-10-31T12:56:13.537,0.700,0.438,0.955,-0.198
1604163373547,2020-10-31T12:56:13.547,0.710,0.452,1.024,-0.233
1604163373557,2020-10-31T12:56:13.557,0.720,0.464,1.095,-0.266
1604163373567,2020-10-31T12:56:13.567,0.730,0.474,1.132,-0.283
1604163373577,2020-10-31T12:56:13.577,0.740,0.484,1.091,-0.262
1604163373587,2020-10-31T12:56:13.587,0.750,0.495,1.012,-0.240
1604163373597,2020-10-31T12:56:13.597,0.760,0.502,1.060,-0.271
1604163373607,2020-10-31T12:56:13.607,0.770,0.513,1.174,-0.316
1604163373617,2020-10-31T12:56:13.617,0.780,0.533,1.195,-0.328
1604163373627,2020-10-31T12:56:13.627,0.790,0.542,1.091,-0.296
1604163373637,2020-10-31T12:56:13.637,0.800,0.528,0.994,-0.273
1604163373647,2020-10-31T12:56:13.647,0.810,0.516,0.917,-0.248
1604163373657,2020-10-31T12:56:13.657,0.820,0.506,0.831,-0.222
1604163373667,2020-10-31T12:56:13.667,0.830,0.478,0.821,-0.242
1604163373677,2020-10-31T12:56:13.677,0.840,0.444,0.855,-0.268
1604163373687,2020-10-31T12:56:13.687,0.850,0.428,0.865,-0.277
1604163373697,2020-10-31T12:56:13.697,0.860,0.411,0.863,-0.290
1604163373707,2020-10-31T12:56:13.707,0.870,0.399,0.855,-0.299
1604163373717,2020-10-31T12:56:13.717,0.880,0.397,0.832,-0.290
1604163373727,2020-10-31T12:56:13.727,0.890,0.401,0.809,-0.287
